"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NABARD","N2","31-Oct-2018","       1133.00","       1137.95","       1183.00","       1131.00","       1131.20","       1131.21","       1136.15","        995","             1130464.48","         17","        992","         99.70"
"NABARD","N2","01-Nov-2018","       1131.21","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","        500","              567500.00","          1","        500","        100.00"
"NABARD","N2","02-Nov-2018","       1135.00","       1137.95","       1138.00","       1137.95","       1138.00","       1137.95","       1137.95","         21","               23897.00","          3","         21","        100.00"
"NABARD","N2","05-Nov-2018","       1137.95","       1137.50","       1138.50","       1137.50","       1138.50","       1138.50","       1137.63","         12","               13651.50","          3","         11","         91.67"
"NABARD","N2","06-Nov-2018","       1138.50","       1132.01","       1135.00","       1120.00","       1135.00","       1124.08","       1124.08","       1011","             1136445.50","         12","       1000","         98.91"
"NABARD","N2","09-Nov-2018","       1124.08","       1128.50","       1132.80","       1128.50","       1132.74","       1132.74","       1130.39","        450","              508676.20","         16","        320","         71.11"
"NABARD","N2","12-Nov-2018","       1132.74","       1132.00","       1140.00","       1132.00","       1140.00","       1140.00","       1133.14","        211","              239092.50","          7","        170","         80.57"
"NABARD","N2","14-Nov-2018","       1140.00","       1137.95","       1150.00","       1137.95","       1150.00","       1150.00","       1138.26","         39","               44392.15","          4","         37","         94.87"
"NABARD","N1","15-Nov-2018","       1120.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","         50","               56250.00","          1","         50","        100.00"
"NABARD","N2","15-Nov-2018","       1150.00","       1137.00","       1169.00","       1137.00","       1140.90","       1140.90","       1142.75","        336","              383964.00","          4","        336","        100.00"
"NABARD","N2","16-Nov-2018","       1140.90","       1135.10","       1135.10","       1135.10","       1135.10","       1135.10","       1135.10","        100","              113510.00","          1","        100","        100.00"
"NABARD","N2","19-Nov-2018","       1135.10","       1138.00","       1148.00","       1138.00","       1148.00","       1145.14","       1140.09","      16560","            18879821.50","         46","      16409","         99.09"
"NABARD","N2","20-Nov-2018","       1145.14","       1140.00","       1140.10","       1130.00","       1130.00","       1132.26","       1135.80","      19795","            22483206.59","        119","      15221","         76.89"
"NABARD","N2","21-Nov-2018","       1132.26","       1131.00","       1131.00","       1128.10","       1128.50","       1128.50","       1129.39","       3290","             3715702.10","         43","       3040","         92.40"
"NABARD","N2","26-Nov-2018","       1128.50","       1132.00","       1134.90","       1132.00","       1134.90","       1134.60","       1132.69","       4203","             4760677.72","         23","       3693","         87.87"
"NABARD","N2","27-Nov-2018","       1134.60","       1132.00","       1132.01","       1130.10","       1130.25","       1130.25","       1131.53","       4089","             4626818.00","         23","       3739","         91.44"
"NABARD","N2","28-Nov-2018","       1130.25","       1131.00","       1137.00","       1131.00","       1135.50","       1135.49","       1136.41","       3260","             3704702.50","         23","       3220","         98.77"
"NABARD","N2","29-Nov-2018","       1135.49","       1130.06","       1135.00","       1130.00","       1133.00","       1133.73","       1130.36","      29272","            33087768.67","        122","      18155","         62.02"
"NABARD","N2","30-Nov-2018","       1133.73","       1135.00","       1135.00","       1130.55","       1134.99","       1133.80","       1132.20","       7050","             7982018.80","         32","       5735","         81.35"
"NABARD","N2","03-Dec-2018","       1133.80","       1133.50","       1133.55","       1132.10","       1133.01","       1133.01","       1132.95","       1641","             1859164.21","         13","       1640","         99.94"
"NABARD","N2","04-Dec-2018","       1133.01","       1130.10","       1135.00","       1130.10","       1135.00","       1135.00","       1133.09","        800","              906475.00","          3","        550","         68.75"
"NABARD","N2","05-Dec-2018","       1135.00","       1134.95","       1139.99","       1134.95","       1135.00","       1135.44","       1135.31","       4108","             4663835.10","         23","       3908","         95.13"
"NABARD","N2","06-Dec-2018","       1135.44","       1133.75","       1133.75","       1131.60","       1131.70","       1131.70","       1132.16","       1071","             1212539.32","         15","       1071","        100.00"
"NABARD","N2","07-Dec-2018","       1131.70","       1138.63","       1138.63","       1138.50","       1138.50","       1138.50","       1138.59","         59","               67176.57","          3","         59","        100.00"
"NABARD","N2","10-Dec-2018","       1138.50","       1131.20","       1131.20","       1131.20","       1131.20","       1131.20","       1131.20","        380","              429856.00","         12","        200","         52.63"
"NABARD","N2","14-Dec-2018","       1131.20","       1130.10","       1132.10","       1130.10","       1132.10","       1132.10","       1130.24","        216","              244131.60","          2","        216","        100.00"
"NABARD","N1","17-Dec-2018","       1125.00","       1130.00","       1130.00","       1130.00","       1130.00","       1130.00","       1130.00","         50","               56500.00","          1","         50","        100.00"
"NABARD","N2","17-Dec-2018","       1132.10","       1140.00","       1145.99","       1134.00","       1139.99","       1139.99","       1140.05","        574","              654388.21","         10","        540","         94.08"
"NABARD","N2","18-Dec-2018","       1139.99","       1139.95","       1139.95","       1139.95","       1139.95","       1139.95","       1139.95","         15","               17099.25","          1","         15","        100.00"
"NABARD","N2","19-Dec-2018","       1139.95","       1140.00","       1144.90","       1140.00","       1144.90","       1144.90","       1143.59","        335","              383101.60","          4","        335","        100.00"
